name|cost_info|price|schedule_info|historic_info|long_info|short_info|activities_info|longitude|latitude|province_id|type_place_id
BAR CORDANO|Libre|0|Lun -Dom, 08:00 a 20:00 horas|-|"Ubicada al costado de Palacio de Gobierno, al frente de la ex estación de ferrocarril Desamparados y en parte del primer piso del antiguo Hotel El Comercio; el Bar Cordano se inauguró el 13 de enero de 1905, a cargo de los inmigrantes genoveses Virgilio Boitano y los hermanos Fortunato y Andrés Cordano. En 1978 los Cordano traspasaron el bar a sus mozos, quienes manejan el negocio hasta la actualidad.
En su carta figuran los licores de bandera peruana como el Pisco Sour y el Chilcano, así como platos tradicionales europeos como “Sesos a la Romana” y “Riñoncitos al Vino”; además de butifarras y sánguches de jamón. Su estratégica ubicación en la principal zona patrimonial y turística del Centro Histórico de Lima, área donde también se ubicaron tiendas y negocios con venta de bebidas desde la época colonial, le suman tradición a este emblemático bar de Lima."|Su estratégica ubicación en la principal zona patrimonial y turística del Centro Histórico de Lima, área donde también se ubicaron tiendas y negocios con venta de bebidas desde la época colonial, le suman tradición a este emblemático bar de Lima.|Degustación y preparación de platos, productos o bebidas típicas, también se puede realizar tomas de fotografías y filmaciones |-12.044853|-77.028933|Lima|Manifestaciones culturales
PALACIO DE TORRE TAGLE|Semi-restringido(previo permiso)|0|Lun - Vie, 9:00 a 13:00 Horas y de 15:00 a 17:00 Horas.|El Palacio se construyó a inicios del siglo XVIII y fue terminado en 1735 para Don José Bernardo de Tagle y Bracho, quien el 26 de noviembre de 1730 recibió del Rey de España Felipe V el título de Marqués de Torre Tagle, convirtiéndolo así en el fundador de este Marquesado. Los materiales empleados en la construcción del Palacio fueron traídos desde España, Panamá y Centroamérica. Su construcción es de estilo barroco andaluz con influencia mudéjar en los dos pisos que rodean al patio central. La planta alta tiene galerías con zócalos de azulejos, barandal con balaustres y pisos de finos mosaicos.|El palacio se distribuye en 14 habitaciones, comedor, cocina, una capilla pequeña, con un altar barroco dorado a fuego, adornada con espejos y salones, los mismos que muestran una mezcla de influencias españolas y morunas. Ocupa una superficie de 1 699 m2 y, en su fachada asimétrica, destacan dos balcones de estilo barroco andaluz, con aportes moriscos y criollos, tallados en cedro y caoba, con balaustres salomónicos de cocobolo y celosías. También sobresale su portada, labrada en piedra, la misma que contiene el escudo nobiliario de la familia. El primer piso presenta un zaguán con piso de piedra y techo artesonado. Existe también un segundo patio, en donde antiguamente vivía la servidumbre y los esclavos, y en la que actualmente se ubica una calesa del siglo XVIII. |El Palacio de Torre Tagle es un inmueble construido durante la época virreinal del Perú que sirve actualmente como sede principal del Ministerio de Relaciones Exteriores del Perú. |Actividades Culturales y Sociales|-12.048497|-77.0292336355819|Lima|Manifestaciones culturales
MUSEO DE ARTE DE LIMA - MALI|Previa presentación de boleto o ticket|S/ 6.00 a S/ 12.00Estudiantes / mayores de 65 años / niños menores de 12 años S/ 4.00Domingos populares S/ 1.00|M-D:10-8 pm/S:1-5 pm|El Museo de Arte de Lima se encuentra en el Palacio de la Exposición, edificio republicano de arquitectura ecléctica, construido en hierro, con decoración renacentista italiana, y fue diseñado por el arquitecto italiano Antonio Leonardi.|"Se inauguró el 01 de Julio de 1872 por motivo de la Exposición Internacional de Lima contando con un Jardín Botánico, Zoológico y posteriormente se instalaron monumentos y fuentes. Este edificio albergó a diversas instituciones en diferentes etapas de la historia: entre 1872 y 1879 fue sede de la Sociedad de Bellas Artes, entre 1880 a 1883, durante la Guerra del Pacífico, el edificio sirvió como hospital de sangre y luego como guarida chilena; y en 1935 funcionó como sede de la Municipalidad Metropolitana de Lima. En 1955, La Municipalidad de Lima decide entregar el Palacio de la Exposición al ""Patronato de las Artes"" y con el apoyo de la UNESCO, arquitectos y museólogos, se formula el primer proyecto moderno del museo peruano."|El Museo de Arte de Lima es uno de los principales museos del Perú, ubicado en el Paseo Colón, frente al Museo de Arte Italiano, en el distrito de Lima. |Actividades Culturales, Estudios e Investigación y Talleres Artísticos|-12.0603616230073|-77.037001682209|Lima|Manifestaciones culturales
MUSEO HISTORICO MILITAR DE LOS COMBATIENTES DEL MORRO DE ARICA|Previa presentación de boleto o ticket|Adultos: S/. 3.00 y Niños y universitarios: S/. 2.00|Lunes a viernes: 8:00 a. m. a 3:00 p. m.|El Museo expone vestuario, mobiliario, documentos, pinturas y fotografías del héroe nacional coronel Francisco Bolognesi; así como, objetos utilizados durante la guerra del Pacífico.|"En esa casa nació el Coronel Francisco Bolognesi en 1816, militar peruano, héroe de la Guerra del Pacífico, inmolado en la batalla de Arica (1880). Este edificio fue construido sobre el solar que Francisco Pizarro otorgó a Juan Meza. No se posee información escrita ni gráfica de la casa entre 1535 y 1816. 
"|El museo de los Combatientes del Morro de Arica, es un Museo Histórico Militar, que tiene la función de conservar y preservar la memoria de nuestros héroes que ofrendaron su vida en defensa de la integridad nacional.|Guía de museos e historía del Perú|-12.0444143768367|-77.0326089999999|Lima|Manifestaciones culturales
PARQUE UNIVERSITARIO|Libre|0|Lun - Dom 8:00 a.m. a 9:00 p.m|La construcción de este ambiente urbano se da en el año de1870 luego de que se iniciara la demolición de las murallas de Lima; después de varios años de deterioro, durante 1980 y 1990, el Parque Universitario ha sido renovado y se han construido algunas piletas ornamentales así como también un cerco perimetral.|Este parque obtiene esta denominación por encontrarse en él la antigua casona de la Universidad Nacional Mayor de San Marcos (primera universidad de América). Dentro del parque se encuentran importantes monumentos como La Torre Reloj, llamada también la torre alemana o del reloj, fue donada por los residentes alemanes en el Perú, con motivo del Centenario de la Independencia en 1921.|El Parque Universitario es un parque ubicado en el centro histórico de la ciudad de Lima, capital del Perú. |Actividades Culturales, Compras de artesanía /Souvenir, Degustación y prepración de platos, productos o bebidas típicas y Toma de fotografías y filmaciones|-12.0541473442329|-77.0313473177909|Lima|Manifestaciones culturales
MUSEO DE LA INQUISICIÓN Y DEL CONGRESO DE LA REPÚBLICA|Libre|0|Lun - Dom 9:00 a.m. a 5:00 p.m|Fue sede del Senado Nacional hasta 1939, año en que dicha Cámara Legislativa se trasladó al Palacio Legislativo. Poco después funcionó en los mismos ambientes la Biblioteca Pública de la Cámara de Diputados (1943) y, finalmente, el Museo del Congreso (1968-hasta la actualidad).|El Museo del Congreso y de la Inquisición tiene como misión investigar, conservar, exhibir y difundir la Historia del Congreso de la República y el  Patrimonio Cultural a su cargo. Fue establecido el 26 de julio de 1968. Está ubicado en la quinta cuadra del Jr. Junín s/n, en el Cercado de Lima. Funciona en el antiguo local del Senado Nacional, el que durante el Virreinato había servido de sede al Tribunal de la Inquisición.|El Museo Monumental de la Inquisición y del Congreso es un museo peruano, ubicado en el antiguo local del Tribunal del Santo Oficio de la Inquisición en Lima, tribunal eclesiástico con competencia en materia de delitos religiosos.|Nuestro personal los conducirá gratuitamente en su recorrido por nuestras instalaciones. La visita dura aproximadamente una hora y las explicaciones se brindan en castellano, inglés, italiano. |-12.0479725074863|-77.026336046627|Lima|Manifestaciones culturales
PALACIO DE JUSTICIA|Libre|0|Horario de Oficina de 9:00 a.m. - 17 horas.|La obra fue propuesta durante el gobierno de Augusto Leguía en su política de modernización y occidentalización de la capital y fue finalizada e inaugurada el 5 de diciembre de 1939 por el entonces presidente Óscar R. Benavides.1​ Fue terminado un año después del actual Palacio de Gobierno.|El edificio de estilo neoclásico fue obra del arquitecto Bruno Paproskyestuvo, inspirado en la arquitectura del Palacio de Justicia de Bruselas. La financiación con la Empresa Gildred Company para la construcción del edificio fue respaldada por la ley N° 6664 dada por el presidente Augusto B. Leguía, quien no pudo cristalizar la obra durante su gobierno, sin embargo es bajo el gobierno del general Óscar R. Benavides que ésta se concretiza.|El Palacio de Justicia de Lima es la sede principal de la Corte Suprema de Justicia de la República del Perú y símbolo del Poder Judicial del Perú. |Estudios e Investigación y Biblioteca de Derecho|-12.0576596884831|-77.0349019999999|Lima|Manifestaciones culturales
MUSEO DEL BANCO CENTRAL DE RESERVA DEL PERÚ|Libre|0|Mar - Vie 10:00 a.m. A 4:30 p.m.|El edificio fue inaugurado en el año 1929. El Banco Central de Reserva del Perú ocupó este edificio por más de 50 años hasta que en 1979 sus líderes decidieron dejarlo|El Museo del Banco Central de Reserva se inauguró el 25 de julio 1980 y exhibe un patrimonio arqueológico, pictórico y popular de primer nivel; además de realizar diversas actividades culturales, como exposiciones, ciclos de cine y teatro para niños, las cuales buscan integrar al ciudadano con el museo|Bello local republicano en la que funcionara la antigua sede del Banco Central de Reserva.|Actividades Culturales|-12.0481346231268|-77.0301353411044|Lima|Manifestaciones culturales
MUSEO DEL PALACIO ARZOBISPAL DE LIMA|Previa presentación de boleto o ticket|General S/. 30.00|L-S: 9:00 - 17:00|El Museo Palacio Arzobispal de Lima fue construido el 8 de diciembre de 1924 y es considerado el primer ejemplo de estilo arquitectónico neo-colonial académico, su diseño fue tomando como referencia directa al palacio de Torre Tagle|El palacio Arzobispal es parte del patrimonio artístico religioso de la cultura peruana. Está ubicada junto a la Catedral de Lima, y en un inicio en ese espacio se erigió la primera cárcel de la ciudad, después Pablo III erige este palacio como Basílica Catedral Primada, hasta que en el año 1600 se le conoció como el local del Arzobispado.|El Palacio Arzobispal de Lima fue la residencia del arzobispo de Lima y la sede administrativa de la Arquidiócesis de Lima, en él se encontraban las oficinas administrativas del Arzobispado de Lima.|Estudios e Investigación, Toma de fotografías y filmaciones|-12.0460756557867|-77.0296573294477|Lima|Manifestaciones culturales
MATE MUSEO MARIO TESTINO|Previa presentación de boleto o ticket|Entrada general: 10 soles / Estudiantes: 5 soles|Martes a domingo de 11 am -7 pm|La casona que alberga MATE es de estilo republicana, construida en 1898, siendo restaurada impecablemente por el arquitecto Augusto de Cossio Ceino; manteniendo su diseño arquitectónico original.|El Museo Mario Testino es un centro sin fines de lucro creado para contribuir al Perú a través del cultivo y promoción de la cultura y el patrimonio. Fundada por Mario Testino en 2012, MATE tiene como objetivo atraer la atención mundial a los artistas y la cultura peruanos, al tiempo que ofrece lo mejor del arte y la fotografía contemporánea internacional al público de Lima. MATE facilita este animado intercambio a través de un dinámico programa de exposiciones, residencias y eventos, junto con una muestra permanente de la obra de Mario Testino.|MATE es el único museo en el mundo dedicado a exhibir de manera permanente la obra del fotógrafo Mario Testino. |Actividades Culturales, Realización de eventos|-12.1540799413841|-77.0230569791679|Lima|Manifestaciones culturales
