id|category_id|subcategory_id|touristic_place_id
1|Arquitectura y espacios urbanos|Bares|BAR CORDANO
2|Arquitectura y espacios urbanos|Palacio|PALACIO DE TORRE TAGLE
3|Museos y otros|Museos|MUSEO DE ARTE DE LIMA - MALI
4|Museos y otros|Museos|MUSEO HISTORICO MILITAR DE LOS COMBATIENTES DEL MORRO DE ARICA
5|Arquitectura y espacios urbanos|Parques|PARQUE UNIVERSITARIO
6|Museos y otros|Museos|MUSEO DE LA INQUISICIÓN Y DEL CONGRESO DE LA REPÚBLICA
7|Arquitectura y espacios urbanos|Palacio|PALACIO DE JUSTICIA
8|Museos y otros|Museos|MUSEO DEL BANCO CENTRAL DE RESERVA DEL PERÚ
9|Museos y otros|Museos|MUSEO DEL PALACIO ARZOBISPAL DE LIMA
10|Museos y otros|Museos|MATE MUSEO MARIO TESTINO
11|Arquitectura y espacios urbanos|Plazas|PLAZA FRANCIA O PLAZA DE LA RECOLETA
12|Arquitectura y espacios urbanos|Biblioteca|BIBLIOTECA MUNICIPAL MANUEL BEINGOLEA
13|Arquitectura y espacios urbanos|Plazas|PLAZA BOLOGNESI
14|Arquitectura y espacios urbanos|Parques|PARQUE MUNICIPAL DE BARRANCO
15|Museos y otros|Museos|MUSEO NACIONAL DE ARQUEOLOGÍA, ANTROPOLOGÍA E HISTORIA DEL PERU
16|Museos y otros|Museos|MUSEO AMANO
17|Museos y otros|Museos|MUSEO NACIONAL DE LA CULTURA PERUANA
18|Museos y otros|Museos|MUSEO DE ARTE DE LA UNIVERSIDAD NACIONAL DE SAN MARCOS
19|Museos y otros|Museos|CASA MUSEO RICARDO PALMA
20|Museos y otros|Museos|CASA MUSEO JULIA CODESIDO
21|Arquitectura y espacios urbanos|Parques|PARQUE FEDERICO VILLARREAL
22|Arquitectura y espacios urbanos|Plazuelas|PLAZA SANTISIMA CRUZ DEL VIAJERO
23|Museos y otros|Museos|MUSEO LARCO HERRERA
24|Arquitectura y espacios urbanos|Parques|PARQUE CENTRAL
25|Arquitectura y espacios urbanos|Parques|PARQUE EL CARMEN
26|Arquitectura y espacios urbanos|Plazas|PARQUE DEL FARO DE LA MARINA
27|Arquitectura y espacios urbanos|Parques|PARQUE ALFREDO SALAZAR
28|Arquitectura y espacios urbanos|Palacio|PALACIO MUNICIPAL DE MIRAFLORES
29|Museos y otros|Museos|MUSEO PEDRO DE OSMA
30|Arquitectura y espacios urbanos|Palacio|PALACIO DE GOBIERNO
31|Arquitectura y espacios urbanos|Palacio|PALACIO MUNICIPAL DE LIMA
32|Arquitectura y espacios urbanos|Parques|PARQUE DE LA MURALLA
33|Museos y otros|Museos|MUSEO ANDRÉS DEL CASTILLO
34|Museos y otros|Museos|MUSEO DE ARTES Y TRADICIONES POPULARES
35|Arquitectura y espacios urbanos|Parques|PARQUE DE LA RESERVA - CIRCUITO MÁGICO DEL AGUA
36|Museos y otros|Museos|PINACOTECA MUNICIPAL IGNACIO MERINO
37|Arquitectura y espacios urbanos|Iglesias|BASÍLICA CATEDRAL DE LIMA
38|Arquitectura y espacios urbanos|Casa de valor arquitectónico|CASA ASPÍLLAGA – Centro Cultural Inca Garcilaso de la Vega
39|Lugares históricos|Casas históricas|CASA DEL OÍDOR
40|Museos y otros|Casa Museo|CASA MUSEO MIGUEL GRAU
41|Museos y otros|Casa Museo|Casa Riva Agüero – Museo de Artes y Tradiciones Populares
42|Arquitectura y espacios urbanos|Complejo monumental|CONJUNTO MONUMENTAL SAN FRANCISCO DE LIMA
43|Arquitectura y espacios urbanos|Convento|CONVENTO DE SANTO DOMINGO DE LIMA
44|Arquitectura y espacios urbanos|Otros – Mercado Municipal|MERCADO CENTRAL (Mercado Municipal Gran Mariscal Ramón Castilla)
45|Museos y otros|Casas Museo|MUSEO DE LOS COMBATIENTES DEL MORRO DE ARICA
46|Museos y otros|Museos de sitio|MUSEO DE SITIO BODEGA Y QUADRA
47|Museos y otros|Casas Museo|MUSEO ETNOGRÁFICO AMAZÓNICO “JOSÉ PÍO AZA”
48|Museos y otros|Salas de exhibición y galerías expositivas|MUSEO METROPOLITANO DE LIMA
49|Museos y otros|Museo |MUSEO MUNICIPAL DE TEATRO
50|Arquitectura y espacios urbanos|Palacios|PALACIO ARZOBISPAL DE LIMA
51|Arquitectura y espacios urbanos|Palacios|PALACIO MUNICIPAL DE LIMA
52|Arquitectura y espacios urbanos|Casa de valor arquitectónico|PALACIO TORRE TAGLE
